cus_state,cus_city,cus_fullname,Transaction ID,paym_type,Customer ID,cus_postal,cus_gender,cus_bdate,cus_age,order_id,order_detail,order_date,order_total,order_barcode,time_id,transac_id,total_sales,total_discount,prod_id,prod_name,prod_cate,prod_price,prod_size,prod_cost,store_id-1,time_id-1,time_date,time_month,time_quater,time_year
PA,Harrisburg,Robert Gonzalez,TS0011,Cash,C0011,17101,Other,6/12/1981 AD,43,OR0011,"RÃ–NNINGE / RÃ–NNINGE, ENERYDA, FLINTAN, Ã„PPLARÃ–, NORDVIKEN / LEIFARNE, YTTERÃ–N, NORDVIKEN / NORRARYD",16/5/2020 AD,7,5360f18e00011,TM0011,TS0011,2424,61,PD0449,ELVARLI,Bookcases & shelving units,20,Big,17,S0449,TM0011,16,5,Q2,2020
ME,Augusta,Michael Davis,TS0012,Debit Card,C0012,04330,Other,12/2/1987 AD,37,OR0012,"LOBERGET / BLYSKÃ„R, DIETMAR, FLINTAN, RIKSVIKEN",15/11/2022 AD,4,5360f18e00012,TM0012,TS0012,4043,100,PD0065,MALM,Beds,349,Small,344,S0065,TM0012,15,11,Q4,2022
KY,Frankfort,Karen Williams,TS0013,Cash,C0013,40601,Male,10/4/2008 AD,16,OR0013,"STEFAN, TORHOLMEN, BILLY / OXBERG",12/7/2023 AD,3,5360f18e00013,TM0013,TS0013,4868,71,PD1591,PLATSA,Chests of drawers & drawer units,356,Small,348,S1591,TM0013,12,7,Q3,2023
MD,Annapolis,Joseph Johnson,TS0014,Cash,C0014,21401,Female,31/1/1986 AD,38,OR0014,"KLEPPSTAD, KROKHOLMEN, YTTERÃ–N",10/9/2022 AD,3,5360f18e00014,TM0014,TS0014,3485,75,PD1017,BESTÅ,Cabinets & cupboards,65,Medium,58,S1017,TM0014,10,9,Q3,2022
MN,Saint Paul,Sarah Hernandez,TS0015,Cash,C0015,55102,Male,8/4/2001 AD,23,OR0015,"MÃ–RBYLÃ…NGA / ODGER, BOTTNA, INGATORP / SAKARIAS, SKÃ…LBERG / SPORREN, VÃ„STANBY/VÃ„STANÃ… / BERNHARD",15/2/2022 AD,5,5360f18e00015,TM0015,TS0015,2867,53,PD1361,TORSBY / VOLFGANG,Chairs,2395,Small,2393,S1361,TM0015,15,2,Q1,2022
CA,Sacramento,Mary Davis,TS0016,Debit Card,C0016,95814,Other,7/12/1987 AD,37,OR0016,"SVENARNE, TORSBY / LEIFARNE, STUVA / FÃ–LJA, REMSTA, HEDRA, BINGSTA, LAPPVIKEN, UTÃ…KER, MACKAPÃ„R",10/1/2020 AD,9,5360f18e00016,TM0016,TS0016,4453,96,PD1752,TROFAST,Children's furniture,240,Small,237,S1752,TM0016,10,1,Q1,2020
ME,Augusta,Sarah Anderson,TS0017,Cash,C0017,04330,Other,1/2/2007 AD,17,OR0017,"FRANKLIN, TUFJORD",14/8/2023 AD,2,5360f18e00017,TM0017,TS0017,2798,83,PD0662,BESTÅ,Bookcases & shelving units,2635,Medium,2629,S0662,TM0017,14,8,Q3,2023
AK,Juneau,Susan Moore,TS0018,Credit Card,C0018,99801,Other,21/6/1981 AD,43,OR0018,"FEJAN, FINNBY, TINGBY / NILSOVE, GUNDE, NORRÃ…KER / NORRÃ…KER, BROMMÃ–, DJUPVIK, RÃ–NNINGE / RÃ–NNINGE, LOBERGET / SIBBEN",30/1/2021 AD,9,5360f18e00018,TM0018,TS0018,1811,67,PD0193,LAIVA,Bookcases & shelving units,24.99,Big,14.99,S0193,TM0018,30,1,Q1,2021
MD,Annapolis,Robert Jones,TS0019,Debit Card,C0019,21401,Male,7/1/1997 AD,27,OR0019,"NORDMELA, VIPPÃ„RT, FRÃ–SÃ–N, JONAXEL",14/11/2020 AD,4,5360f18e00019,TM0019,TS0019,2733,65,PD1134,LÅNGFJÄLL,Chairs,595,Small,587,S1134,TM0019,14,11,Q4,2020
AK,Juneau,John Lopez,TS0020,Credit Card,C0020,99801,Other,13/12/1998 AD,26,OR0020,"ANTILOP, KALLAX",1/12/2020 AD,2,5360f18e00020,TM0020,TS0020,2981,67,PD0524,TROFAST,Bookcases & shelving units,79.99,Small,71.99,S0524,TM0020,1,12,Q4,2020
HI,Honolulu,Michael Gonzalez,TS0021,Debit Card,C0021,96813,Female,11/7/1996 AD,28,OR0021,"NOLMYRA, KALLVIKEN, DELAKTIG, LISABO / RÃ–NNINGE, AGAM",15/11/2021 AD,5,5360f18e00021,TM0021,TS0021,4426,100,PD1554,HEMNES,Chests of drawers & drawer units,375,Medium,367,S1554,TM0021,15,11,Q4,2021
WI,Madison,Jessica Jones,TS0022,Credit Card,C0022,53703,Female,3/12/1985 AD,39,OR0022,"TYSSEDAL, INNAMO, GLASSVIK, MALSJÃ–",1/3/2020 AD,4,5360f18e00022,TM0022,TS0022,2876,75,PD0733,TIMMERVIKEN,Cabinets & cupboards,22,Medium,13,S0733,TM0022,1,3,Q1,2020
WI,Madison,Thomas Hernandez,TS0023,Debit Card,C0023,53703,Other,20/11/1993 AD,31,OR0023,"HERDIS, PÃ…HL, FÃ–RSIKTIG, NILSOLLE, RYDEBÃ„CK/BACKARYD / JANINGE, NYHAMN",29/3/2023 AD,6,5360f18e00023,TM0023,TS0023,1580,52,PD1927,ÄPPLARÖ,Outdoor furniture,2034,Big,2029,S1927,TM0023,29,3,Q1,2023
GA,Atlanta,John Davis,TS0024,Debit Card,C0024,30301,Male,13/4/1993 AD,31,OR0024,"BAGGANÃ„S, ALGOT / BROR, FREDÃ–N, VEDBO, MELLTORP / TEODORES, TORSBY / BERNHARD, FANBYN",22/8/2020 AD,7,5360f18e00024,TM0024,TS0024,4456,73,PD0341,BOAXEL,Bookcases & shelving units,8,Medium,0,S0341,TM0024,22,8,Q3,2020
AK,Juneau,Charles Martinez,TS0025,Debit Card,C0025,99801,Female,26/7/2001 AD,23,OR0025,"NORDVIKEN / NORRARYD, IKEA PS VÃ…GÃ–, TERJE, SKUBB, BILLY, SKARPÃ–, IKEA PS GULLHOLMEN, NORRÃ…KER, MYDAL, ENERYDA",19/4/2019 AD,10,5360f18e00025,TM0025,TS0025,4227,77,PD1168,JUSTINA,Chairs,19,Big,15,S1168,TM0025,19,4,Q2,2019
UT,Salt Lake City,William Johnson,TS0026,Credit Card,C0026,84111,Female,8/8/1985 AD,39,OR0026,"IKEA PS VÃ…GÃ–, STUBBARP",29/8/2020 AD,2,5360f18e00026,TM0026,TS0026,2309,74,PD1918,ASKHOLMEN,Outdoor furniture,255,Big,252,S1918,TM0026,29,8,Q3,2020
KS,Topeka,Susan Jones,TS0027,Credit Card,C0027,66603,Other,14/2/1985 AD,39,OR0027,"SKUBB, MOSSARYD, IDANÃ„S",29/12/2023 AD,3,5360f18e00027,TM0027,TS0027,3965,82,PD0568,EKET,Bookcases & shelving units,85,Medium,77,S0568,TM0027,29,12,Q4,2023
GA,Atlanta,Robert Martin,TS0028,Cash,C0028,30301,Other,21/10/2000 AD,24,OR0028,NÃ„MMARÃ–,9/4/2021 AD,1,5360f18e00028,TM0028,TS0028,4112,86,PD1915,ÄPPLARÖ,Outdoor furniture,745,Medium,739,S1915,TM0028,9,4,Q2,2021
NC,Raleigh,Karen Martinez,TS0029,Debit Card,C0029,27601,Other,1/11/1986 AD,38,OR0029,"NORDKISA, EDVALLA, SMÃ…STAD",31/7/2019 AD,3,5360f18e00029,TM0029,TS0029,2821,65,PD0070,VEVELSTAD,Beds,279,Big,271,S0070,TM0029,31,7,Q3,2019
CO,Denver,Michael Smith,TS0030,Debit Card,C0030,80202,Female,13/9/2002 AD,22,OR0030,"CILLA, LAXVIKEN, VÃ„STANBY/VÃ„STANÃ… / BERNHARD, STOLJAN, BILLY / MORLIDEN, TRANARÃ–, SUNNEA",21/11/2023 AD,7,5360f18e00030,TM0030,TS0030,4675,65,PD0010,EKEDALEN / EKEDALEN,Bar furniture,759.99,Small,756.99,S0010,TM0030,21,11,Q4,2023
MO,Jefferson City,Charles Lopez,TS0031,Credit Card,C0031,65101,Male,5/12/2007 AD,17,OR0031,"NORDVIKEN / NORRARYD, VÃ„DDÃ–, GAMLARED / LERHAMN, LYCKSELE",30/4/2019 AD,4,5360f18e00031,TM0031,TS0031,2050,69,PD1991,BRUSEN,Outdoor furniture,399,Big,393,S1991,TM0031,30,4,Q2,2019
OH,Columbus,Mary Lopez,TS0032,Debit Card,C0032,43215,Female,25/1/1982 AD,42,OR0032,"TORNVIKEN, NORSBORG, BUSA, KULLABERG, STOLJAN, NORDVIKEN, CILLA",25/8/2023 AD,7,5360f18e00032,TM0032,TS0032,4795,71,PD0389,BROR,Bookcases & shelving units,110,Small,103,S0389,TM0032,25,8,Q3,2023
CA,Sacramento,Patricia Anderson,TS0033,Credit Card,C0033,95814,Female,8/3/1982 AD,42,OR0033,"SVANÃ–, TÃ„RENDÃ– / ADDE, MÃ–LLARP, TORSBY / VOLFGANG, MELLTORP / JANINGE",21/9/2021 AD,5,5360f18e00033,TM0033,TS0033,2596,63,PD1851,STUVA / FRITIDS,Nursery furniture,375,Small,365,S1851,TM0033,21,9,Q3,2021
NV,Carson City,Barbara Wilson,TS0034,Cash,C0034,89701,Female,21/10/1981 AD,43,OR0034,"SOLLERÃ–N, ASKVOLL, EKEDALEN / BERNHARD, TIMMERVIKEN, MÃ–LLARP, DETOLF, RÃ–NNINGE / RÃ–NNINGE, NORDVIKEN / RÃ–NNINGE, MELLTORP / JANINGE",6/12/2020 AD,9,5360f18e00034,TM0034,TS0034,4571,66,PD1420,NORRÅKER / RÖNNINGE,Chairs,1085,Small,1080,S1420,TM0034,6,12,Q4,2020
MS,Jackson,Linda Martin,TS0035,Cash,C0035,39201,Other,24/10/1988 AD,36,OR0035,"LIDKULLEN, VOLFGANG, HÃ…LLÃ–, Ã„PPLARÃ–, LÃ„TT, MICKE",23/11/2023 AD,6,5360f18e00035,TM0035,TS0035,4182,52,PD0503,EKET,Bookcases & shelving units,35,Big,32,S0503,TM0035,23,11,Q4,2023
DE,Dover,Mary Moore,TS0036,Cash,C0036,19901,Female,3/8/2003 AD,21,OR0036,"LURÃ–Y, STEGÃ–N, JÃ„RVFJÃ„LLET, HAUGA",27/1/2021 AD,4,5360f18e00036,TM0036,TS0036,1897,54,PD0719,ALGOT / BROR,Bookcases & shelving units,1311,Big,1309,S0719,TM0036,27,1,Q1,2021
AR,Little Rock,Barbara Thomas,TS0037,Credit Card,C0037,72201,Other,31/5/2000 AD,24,OR0037,"MÃ„STERBY, LISABO / RÃ–NNINGE, NORDMELA, MÃ–RBYLÃ…NGA / LEIFARNE, RYDEBÃ„CK/BACKARYD / JANINGE, FÃ„RLÃ–V, MINNEN, MILLBERGET",9/8/2021 AD,8,5360f18e00037,TM0037,TS0037,1565,56,PD0913,KALLVIKEN,Cabinets & cupboards,135,Small,133,S0913,TM0037,9,8,Q3,2021
AZ,Phoenix,Sarah Davis,TS0038,Debit Card,C0038,85001,Male,19/2/1989 AD,35,OR0038,MYDAL,12/10/2021 AD,1,5360f18e00038,TM0038,TS0038,3135,51,PD0533,BEKANT,Bookcases & shelving units,439.99,Big,434.99,S0533,TM0038,12,10,Q4,2021
LA,Baton Rouge,Richard Miller,TS0039,Debit Card,C0039,70801,Other,8/7/1987 AD,37,OR0039,"LISABO / SVENBERTIL, HÃ…VERUD / STIG, FINNBY, BILLY / MORLIDEN, KYRRE, HEMNES, BÃ–RJE, FRÃ–SÃ–N",15/6/2019 AD,8,5360f18e00039,TM0039,TS0039,4752,94,PD0613,SYMFONISK,Bookcases & shelving units,26.99,Medium,19.99,S0613,TM0039,15,6,Q2,2019
AR,Little Rock,Barbara Thomas,TS0040,Cash,C0040,72201,Male,18/12/1992 AD,32,OR0040,"LANEBERG / SVENBERTIL, STRÃ…FLY, TINGBY / LEIFARNE, KLEPPSTAD, MYDAL, LILLHÃ–JDEN, BJÃ„RRED, STOCKSUND, VIMLE",15/2/2020 AD,9,5360f18e00040,TM0040,TS0040,1342,85,PD1695,TROFAST,Children's furniture,195,Medium,191,S1695,TM0040,15,2,Q1,2020
AZ,Phoenix,James Rodriguez,TS0041,Cash,C0041,85001,Female,2/12/2003 AD,21,OR0041,"IDANÃ„S, FLINTAN / NOMINELL, KLIMPEN, LÃ„TT, NISSE, VANGSTA / TEODORES",15/2/2019 AD,6,5360f18e00041,TM0041,TS0041,2376,81,PD0110,SNIGLAR,Beds,119,Big,117,S0110,TM0041,15,2,Q1,2019
TN,Nashville,Richard Gonzalez,TS0042,Cash,C0042,37219,Other,23/4/1998 AD,26,OR0042,"LIDHULT, KARLHUGO",18/9/2021 AD,2,5360f18e00042,TM0042,TS0042,4861,55,PD1563,TYSSEDAL,Chests of drawers & drawer units,945,Medium,944,S1563,TM0042,18,9,Q3,2021
AL,Montgomery,William Garcia,TS0043,Cash,C0043,36104,Other,15/12/1981 AD,43,OR0043,"IKEA PS VÃ…GÃ–, SMÃ…GÃ–RA, VOLFGANG, LISABO / ODGER, FYRESDAL, Ã–VRARYD / JANINGE, BESTÃ…",27/12/2020 AD,7,5360f18e00043,TM0043,TS0043,3310,83,PD1597,STUVA / FRITIDS,Chests of drawers & drawer units,730,Small,720,S1597,TM0043,27,12,Q4,2020
CA,Sacramento,Richard Davis,TS0044,Cash,C0044,95814,Female,11/4/1986 AD,38,OR0044,"MARTIN, SKRUVSTA, FEJAN, TROLLBERGET, TRYSIL, VASSVIKEN",30/11/2019 AD,6,5360f18e00044,TM0044,TS0044,4718,57,PD0980,BERGHALLA,Cabinets & cupboards,22,Small,14,S0980,TM0044,30,11,Q4,2019
CT,Hartford,James Smith,TS0045,Credit Card,C0045,06103,Male,4/11/2002 AD,22,OR0045,"KALLRÃ–R, JÃ„RVFJÃ„LLET, MASTHOLMEN, MÃ–CKELBY / HENRIKSDAL, MARKUS, BRYNET, ENETRI, TURBO, TOBIAS, GONATT",18/1/2022 AD,10,5360f18e00045,TM0045,TS0045,4726,70,PD1027,STENSELE,Café furniture,450,Big,445,S1027,TM0045,18,1,Q1,2022
AL,Montgomery,Charles Smith,TS0046,Credit Card,C0046,36104,Female,22/4/1983 AD,41,OR0046,"KLIMPEN, KARLJAN, STEFAN, STUVA / FRITIDS",20/4/2022 AD,4,5360f18e00046,TM0046,TS0046,3414,92,PD0339,FJÄLLBO,Bookcases & shelving units,99,Big,94,S0339,TM0046,20,4,Q2,2022
NC,Raleigh,Joseph Brown,TS0047,Cash,C0047,27601,Other,24/11/1996 AD,28,OR0047,"FÃ–RSIKTIG, ULRIKSBERG, LOBERGET / SIBBEN",7/8/2021 AD,3,5360f18e00047,TM0047,TS0047,4594,52,PD0177,BYÅS,TV & media furniture,189.99,Medium,184.99,S0177,TM0047,7,8,Q3,2021
NE,Lincoln,Richard Martinez,TS0048,Debit Card,C0048,68508,Female,16/8/2004 AD,20,OR0048,MELLTORP / NISSE,29/5/2021 AD,1,5360f18e00048,TM0048,TS0048,4478,87,PD1765,AGAM,Children's furniture,195,Small,192,S1765,TM0048,29,5,Q2,2021
KY,Frankfort,Elizabeth Smith,TS0049,Cash,C0049,40601,Other,21/5/2008 AD,16,OR0049,"TROGEN, KYRRE, SUNDVIK, MACKAPÃ„R, NILSERIK, PLATSA, BLÃ…MES, NOMINELL",26/10/2022 AD,8,5360f18e00049,TM0049,TS0049,4676,81,PD1474,VÄSTANBY/VÄSTANÅ / BERNHARD,Chairs,4295,Big,4290,S1474,TM0049,26,10,Q4,2022
MO,Jefferson City,Sarah Anderson,TS0050,Cash,C0050,65101,Female,21/5/2008 AD,16,OR0050,"LAIVA, MOSSARYD, BENARP, STENSELE / RÃ–NNINGE, NIKKEBY, AGEN, FLISAT",30/6/2021 AD,7,5360f18e00050,TM0050,TS0050,1463,79,PD1430,NORRÅKER / RÖNNINGE,Chairs,1976,Small,1971,S1430,TM0050,30,6,Q2,2021
AL,Montgomery,John Johnson,TS0051,Debit Card,C0051,36104,Other,14/10/2007 AD,17,OR0051,"DELAKTIG, ELSEBET, BRIMNES, BAGGANÃ„S, TRANARÃ–, SKUBB",24/5/2020 AD,6,5360f18e00051,TM0051,TS0051,2860,96,PD0166,HAUGA,TV & media furniture,507.99,Small,500.99,S0166,TM0051,24,5,Q2,2020
IA,Des Moines,William Moore,TS0052,Credit Card,C0052,50309,Other,9/10/1999 AD,25,OR0052,"SOLGUL, VIMUND",7/11/2019 AD,2,5360f18e00052,TM0052,TS0052,2665,69,PD1532,HELMER,Chests of drawers & drawer units,175,Medium,165,S1532,TM0052,7,11,Q4,2019
MD,Annapolis,Susan Thomas,TS0053,Credit Card,C0053,21401,Other,26/6/1996 AD,28,OR0053,"HAUGA, VITVAL",6/2/2021 AD,2,5360f18e00053,TM0053,TS0053,3342,78,PD1085,TOSSBERG,Chairs,495,Big,486,S1085,TM0053,6,2,Q1,2021
DE,Dover,Michael Johnson,TS0054,Cash,C0054,19901,Male,1/12/1989 AD,35,OR0054,"NISSE, EKEDALEN, STIG, KROKHOLMEN, BORTBERG, VÃ„STANBY/VÃ„STANÃ… / BERNHARD, CILLA, SÃ–DERHAMN, VITTSJÃ–, NORRNÃ„S",31/3/2022 AD,10,5360f18e00054,TM0054,TS0054,2432,69,PD0730,ALGOT,Bookcases & shelving units,296,Big,286,S0730,TM0054,31,3,Q1,2022
NC,Raleigh,Jessica Taylor,TS0055,Cash,C0055,27601,Other,30/9/1989 AD,35,OR0055,"MOSTORP, RÃ–NNINGE / RÃ–NNINGE, STIG, MICKE, NOTVIKEN",18/11/2023 AD,5,5360f18e00055,TM0055,TS0055,1418,80,PD1185,LERHAMN,Chairs,145,Medium,141,S1185,TM0055,18,11,Q4,2023
TN,Nashville,David Wilson,TS0056,Credit Card,C0056,37219,Other,1/7/2004 AD,20,OR0056,"BUSUNGE, NORDVIKEN, LEIFARNE",6/5/2020 AD,3,5360f18e00056,TM0056,TS0056,2376,64,PD1913,TOSTERÖ,Outdoor furniture,103,Small,99,S1913,TM0056,6,5,Q2,2020
KY,Frankfort,Patricia Taylor,TS0057,Credit Card,C0057,40601,Other,29/6/1984 AD,40,OR0057,"BESTÃ…, DELAKTIG",31/5/2019 AD,2,5360f18e00057,TM0057,TS0057,4055,65,PD1302,BRORINGE,Chairs,95,Big,94,S1302,TM0057,31,5,Q2,2019
NC,Raleigh,Robert Anderson,TS0058,Credit Card,C0058,27601,Other,24/8/1993 AD,31,OR0058,"STENSELE, BORTBERG, MÃ–RBYLÃ…NGA / VOLFGANG, NORRNÃ„S, NORDVIKEN / LEIFARNE, LÃ…NGFJÃ„LL",25/12/2020 AD,6,5360f18e00058,TM0058,TS0058,3081,89,PD1435,MÖRBYLÅNGA / BERNHARD,Chairs,5275,Medium,5270,S1435,TM0058,25,12,Q4,2020
LA,Baton Rouge,Patricia Taylor,TS0059,Cash,C0059,70801,Other,2/12/1991 AD,33,OR0059,"RAST, TINGBY / LEIFARNE, DAGOTTO, URBAN, HELMER, LÃ…NGFJÃ„LL, HATTEFJÃ„LL, MALINDA",13/12/2022 AD,8,5360f18e00059,TM0059,TS0059,1368,72,PD1976,FRÖSÖN,Outdoor furniture,15,Small,7,S1976,TM0059,13,12,Q4,2022
UT,Salt Lake City,William Garcia,TS0060,Debit Card,C0060,84111,Male,11/3/2008 AD,16,OR0060,"BJÃ–RKSNÃ„S, INGATORP / INGOLF, SAGSTUA, TRYSIL, MÃ–CKELBY / FANBYN, JUSTINA",18/8/2020 AD,6,5360f18e00060,TM0060,TS0060,3421,54,PD0071,BLÅKULLEN,Beds,299,Small,292,S0071,TM0060,18,8,Q3,2020
CT,Hartford,Sarah Gonzalez,TS0061,Credit Card,C0061,06103,Other,10/8/2003 AD,21,OR0061,SVENBERTIL,10/11/2023 AD,1,5360f18e00061,TM0061,TS0061,2119,61,PD1139,ULRIKSBERG,Chairs,445,Medium,444,S1139,TM0061,10,11,Q4,2023
OH,Columbus,Joseph Miller,TS0062,Credit Card,C0062,43215,Other,7/11/1999 AD,25,OR0062,"BILLY, KIVIK, JANINGE",8/6/2023 AD,3,5360f18e00062,TM0062,TS0062,4552,57,PD1499,DIETMAR,Chairs,175,Big,167,S1499,TM0062,8,6,Q2,2023
KS,Topeka,Charles Jackson,TS0063,Debit Card,C0063,66603,Female,19/6/1991 AD,33,OR0063,"EKEDALEN / EKEDALEN, VASSVIKEN",28/10/2022 AD,2,5360f18e00063,TM0063,TS0063,3956,96,PD0162,BRIMNES,TV & media furniture,149.99,Big,147.99,S0162,TM0063,28,10,Q4,2022
GA,Atlanta,Karen Williams,TS0064,Credit Card,C0064,30301,Female,13/4/1987 AD,37,OR0064,"MALM, ADDE",28/5/2022 AD,2,5360f18e00064,TM0064,TS0064,2486,50,PD1166,FJÄLLBERGET,Chairs,995,Big,994,S1166,TM0064,28,5,Q2,2022
AR,Little Rock,Richard Taylor,TS0065,Cash,C0065,72201,Other,12/10/2006 AD,18,OR0065,"LURÃ–Y, FRANKLIN, FYRESDAL, RESÃ–, BENÃ–, FUSION, LYCKSELE, KROKHOLMEN",19/10/2023 AD,8,5360f18e00065,TM0065,TS0065,2727,62,PD0672,BROR,Bookcases & shelving units,1345,Small,1340,S0672,TM0065,19,10,Q4,2023
MD,Annapolis,David Wilson,TS0066,Credit Card,C0066,21401,Female,4/2/1988 AD,36,OR0066,"SKÃ„RHAMN, HATTEFJÃ„LL, OLAUS",4/1/2022 AD,3,5360f18e00066,TM0066,TS0066,1577,82,PD1635,NORDLI,Chests of drawers & drawer units,1060,Small,1054,S1635,TM0066,4,1,Q1,2022
OK,Oklahoma City,Thomas Moore,TS0067,Debit Card,C0067,73102,Other,1/3/1986 AD,38,OR0067,"LANGUR, VOLFGANG, VADHOLMA, CIRKUSTÃ„LT, OLAUS, HENRIKSDAL, GRUVBYN, MOSSARYD, LÃ„CKÃ–, LIATORP",9/8/2020 AD,10,5360f18e00067,TM0067,TS0067,3534,94,PD1733,PÅHL,Children's furniture,450,Medium,442,S1733,TM0067,9,8,Q3,2020
NE,Lincoln,Jessica Jones,TS0068,Cash,C0068,68508,Female,7/2/1992 AD,32,OR0068,"LISABO / ODGER, BUSA, FEJAN",17/4/2023 AD,3,5360f18e00068,TM0068,TS0068,4828,58,PD0932,BAGGANÄS,Cabinets & cupboards,27,Big,22,S0932,TM0068,17,4,Q2,2023
MS,Jackson,Michael Miller,TS0069,Cash,C0069,39201,Female,18/6/1999 AD,25,OR0069,"KOARP, VEBERÃ–D, SULARP, BERTIL",22/8/2023 AD,4,5360f18e00069,TM0069,TS0069,1971,80,PD1540,HEMNES,Chests of drawers & drawer units,1095,Small,1087,S1540,TM0069,22,8,Q3,2023
SC,Columbia,David Lopez,TS0070,Cash,C0070,29201,Male,7/12/1982 AD,42,OR0070,FREDÃ–N,17/2/2019 AD,1,5360f18e00070,TM0070,TS0070,2390,91,PD0419,BURHULT / SANDSHULT,Bookcases & shelving units,16.99,Medium,9.99,S0419,TM0070,17,2,Q1,2019
AL,Montgomery,Karen Hernandez,TS0071,Cash,C0071,36104,Female,18/5/1994 AD,30,OR0071,"SINDVIK, TOMMARYD, TOSTERÃ–, HYLLIS, KALLRÃ–R",11/7/2019 AD,5,5360f18e00071,TM0071,TS0071,3263,68,PD1178,HENRIKSDAL,Chairs,295,Medium,294,S1178,TM0071,11,7,Q3,2019
OK,Oklahoma City,Susan Williams,TS0072,Credit Card,C0072,73102,Other,14/3/1999 AD,25,OR0072,"SNILLE, BILLY / OXBERG, BUNSÃ–, KOLON, SKOGSTORP, LOTE, MARIUS, PELLO, ASKVOLL",23/10/2023 AD,9,5360f18e00072,TM0072,TS0072,2862,85,PD0627,IVAR,Bookcases & shelving units,878,Medium,877,S0627,TM0072,23,10,Q4,2023
